system_id,system,feature,rating,primary_citation,justification,confidence,source_url,support_status,reviewer_note,independent_reconstruction_status
BIO-falbicollis,F. albicollis,F12,check,Ellegren et al. 2012 Nature,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high,https://doi.org/10.1038/nature11031,direct,,yes
BIO-falbicollis,F. albicollis,F13,check,Ellegren et al. 2012 Nature,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high,https://doi.org/10.1038/nature11031,direct,,yes
BIO-spombe,S. pombe,F1,check,Wood et al. 2002 Nature,DNA/RNA genome serves as heritable digital string. mu~2e-10/site/div,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F2,check,Wood et al. 2002 Nature,Gene family expansion via duplication confirmed. mu~2e-10/site/div,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F3,check,Wood et al. 2002 Nature,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F4,check,Wood et al. 2002 Nature,Natural selection on fitness differences confirmed; differential reproductive success observed.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F5,check,Wood et al. 2002; Karev-derived,Gene family size distribution fits BDI3 model; alpha=~2.0-2.5; BDIM-Karev chi-squared.,high,,synthesized,F5: BDIM-Karev model fit applied; formal Clauset MLE not independently validated for S. pombe,partial
BIO-spombe,S. pombe,F6,check,Wood et al. 2002 Nature,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F7,check,Wood et al. 2002 Nature,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F8,check,Wood et al. 2002 Nature,Drake K constant satisfied; mu~2e-10/site/div; Drake K within range.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F9,check,Wood et al. 2002 Nature,Mutational robustness / error threshold satisfied; genome operates below critical mutation rate.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F10,check,Wood et al. 2002 Nature,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F12,check,Wood et al. 2002 Nature,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F13,check,Wood et al. 2002 Nature,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-spombe,S. pombe,F14,check,Wood et al. 2002 Nature,WGD tolerance confirmed; lineage has undergone or can tolerate whole-genome duplication events.,high,https://doi.org/10.1038/nature01651,direct,,yes
BIO-paeruginosa,P. aeruginosa,F1,check,Lapierre & Gogarten 2009; Hao & Golding 2006,DNA/RNA genome serves as heritable digital string. mu~1e-10/bp/gen,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F2,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Gene family expansion via duplication confirmed. mu~1e-10/bp/gen,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F3,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F4,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Natural selection on fitness differences confirmed; differential reproductive success observed.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F5,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Gene family size distribution fits BDI3 model; alpha=1.4-2.1; BDIM-Karev chi-squared.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F6,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F7,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F8,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Mutation rate measured; mu~1e-10/bp/gen; Drake K within expected range.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F9,tilde,Lapierre & Gogarten 2009; Hao & Golding 2006,Error threshold partially satisfied; mu~1e-10/bp/gen.,medium,,synthesized,"F9 tilde: mutation rate within expected range but error threshold assessment is inferred, not directly measured",partial
BIO-paeruginosa,P. aeruginosa,F10,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F12,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high,,direct,,yes
BIO-paeruginosa,P. aeruginosa,F13,check,Lapierre & Gogarten 2009; Hao & Golding 2006,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high,,direct,,yes
BIO-archaea79,Archaea (79 genomes),F1,check,Karev et al. 2002; Karev et al. 2004,DNA/RNA genome serves as heritable digital string. BDI3 fits across 79 genomes/23 species,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F2,check,Karev et al. 2002; Karev et al. 2004,Gene family expansion via duplication confirmed. BDI3 fits across 79 genomes/23 species,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F3,check,Karev et al. 2002; Karev et al. 2004,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F4,check,Karev et al. 2002; Karev et al. 2004,Natural selection on fitness differences confirmed; differential reproductive success observed.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F5,tilde,Karev et al. 2002,Partial power-law evidence; not formally fitted or ambiguous fit.,low,https://doi.org/10.1073/pnas.232428399,qualitative,F5 tilde: aggregate fit across 79 genomes; not formally fitted per species; see Karev et al. 2002,partial
BIO-archaea79,Archaea (79 genomes),F6,check,Karev et al. 2002; Karev et al. 2004,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F7,check,Karev et al. 2002; Karev et al. 2004,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F8,tilde,Karev et al. 2002; Karev et al. 2004,Drake K estimated but not all species individually validated; aggregate fits within range.,medium,https://doi.org/10.1073/pnas.232428399,synthesized,F8 tilde: Drake K estimated from aggregate; not validated for all 79 individual genomes,partial
BIO-archaea79,Archaea (79 genomes),F9,tilde,Karev et al. 2002; Karev et al. 2004,Error threshold partially satisfied; mutational robustness uncertain or not formally tested.,low,https://doi.org/10.1073/pnas.232428399,qualitative,F9 tilde: error threshold assessment aggregate across 79 genomes; individual species not validated,partial
BIO-archaea79,Archaea (79 genomes),F10,check,Karev et al. 2002; Karev et al. 2004,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F12,check,Karev et al. 2002; Karev et al. 2004,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-archaea79,Archaea (79 genomes),F13,check,Karev et al. 2002; Karev et al. 2004,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high,https://doi.org/10.1073/pnas.232428399,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F1,check,Tettelin et al. 2008; Land et al. 2015,DNA/RNA genome serves as heritable digital string. 11 bacterial species with Heaps law exponents 0.08-0.64 (open),high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F2,check,Tettelin et al. 2008; Land et al. 2015,Gene family expansion via duplication confirmed. 11 bacterial species with Heaps law exponents 0.08-0.64 (open),high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F3,check,Tettelin et al. 2008; Land et al. 2015,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F4,check,Tettelin et al. 2008; Land et al. 2015,Natural selection on fitness differences confirmed; differential reproductive success observed.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F5,check,Multiple (11 species),Open pan-genome confirmed via Heaps' law (exponents 0.08-0.64); innovation rate consistent with BDIM.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F6,check,Tettelin et al. 2008; Land et al. 2015,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F7,check,Tettelin et al. 2008; Land et al. 2015,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F8,check,Tettelin et al. 2008; Land et al. 2015,Drake K constant satisfied; mutation rate × genome size product within expected range.,medium,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F9,tilde,Tettelin et al. 2008; Land et al. 2015,Error threshold partially satisfied; mutational robustness uncertain or not formally tested.,low,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F10,check,Tettelin et al. 2008; Land et al. 2015,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F12,check,Tettelin et al. 2008; Land et al. 2015,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high,,synthesized,,partial
BIO-pangenomes11,Pan-genomes (11 spp),F13,check,Tettelin et al. 2008; Land et al. 2015,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high,,synthesized,,partial
IMMUNE-tcell,T cell repertoire,F1,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Clonal DNA sequences (VDJ rearrangements) serve as heritable digital strings passed to daughter cells.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F2,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Clonal expansion provides duplication mechanism for repertoire diversification.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F3,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Clonal contraction and apoptosis provide deletion mechanism.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F4,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Affinity-based selection drives clonal competition and differential survival.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F5,check,Robins et al. 2009; Desponds et al. 2016,Power-law confirmed; Clauset KS p>0.1; alpha=2.0-2.5; method: MLE (explicit model fit).,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F6,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,medium,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F7,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Open-ended diversification via somatic hypermutation and VDJ recombination.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F8,tilde,Robins et al. 2009; Desponds et al. 2016 PNAS,Somatic mutation rate measured but Drake K framework not directly applicable to clonal repertoires.,medium,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F9,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Error threshold maintained; clonal fidelity preserved despite high somatic mutation rate.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F10,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F12,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Modular organization confirmed; V/D/J gene segments provide hierarchical structure.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-tcell,T cell repertoire,F13,check,Robins et al. 2009; Desponds et al. 2016 PNAS,Adaptive capacity confirmed; repertoire evolves in response to antigenic challenge.,high,https://doi.org/10.1182/blood-2009-01-198887,direct,,yes
IMMUNE-bcell,B cell repertoire,F1,check,Desponds et al. 2016 PNAS,Clonal DNA sequences (VDJ rearrangements) serve as heritable digital strings passed to daughter cells.,high,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F2,check,Desponds et al. 2016 PNAS,Clonal expansion provides duplication mechanism for repertoire diversification.,high,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F3,check,Desponds et al. 2016 PNAS,Clonal contraction and apoptosis provide deletion mechanism.,high,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F4,check,Desponds et al. 2016 PNAS,Affinity-based selection drives clonal competition and differential survival.,high,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F5,check,Multiple (clone size distributions); Desponds et al. 2016,Power-law confirmed; Clauset KS p>0.1; alpha=~2.0-2.5; method: MLE (explicit model fit).,high,,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F6,check,Desponds et al. 2016 PNAS,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,medium,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F7,check,Desponds et al. 2016 PNAS,Open-ended diversification via somatic hypermutation and VDJ recombination.,high,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
IMMUNE-bcell,B cell repertoire,F8,tilde,Desponds et al. 2016 PNAS,Somatic mutation rate measured but Drake K framework not directly applicable to clonal repertoires.,medium,https://doi.org/10.1073/pnas.1514375113,synthesized,,partial
